"동별","가구원수별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"종로1.2.3.4가동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","13","","","","",
"종로1.2.3.4가동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"종로5.6가동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2692","","","","",
"종로5.6가동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1608","","","","",
"종로5.6가동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","577","","","","",
"종로5.6가동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","288","","","","",
"종로5.6가동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","149","","","","",
"종로5.6가동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","55","","","","",
"종로5.6가동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","10","","","","",
"종로5.6가동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","5","","","","",
"이화동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","3883","","","","",
"이화동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2094","","","","",
"이화동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","910","","","","",
"이화동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","469","","","","",
"이화동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","308","","","","",
"이화동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","78","","","","",
"이화동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","19","","","","",
"이화동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","5","","","","",
"혜화동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","8805","","","","",
"혜화동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","4925","","","","",
"혜화동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1719","","","","",
"혜화동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1092","","","","",
"혜화동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","787","","","","",
"혜화동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","209","","","","",
"혜화동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","60","","","","",
"혜화동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","13","","","","",
"창신1동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2340","","","","",
"창신1동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1069","","","","",
"창신1동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","659","","","","",
"창신1동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","338","","","","",
"창신1동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","191","","","","",
"창신1동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","70","","","","",
"창신1동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","11","","","","",
"창신1동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"창신2동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","3484","","","","",
"창신2동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1288","","","","",
"창신2동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","984","","","","",
"창신2동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","626","","","","",
"창신2동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","425","","","","",
"창신2동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","123","","","","",
"창신2동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","28","","","","",
"창신2동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","10","","","","",
"창신3동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2598","","","","",
"창신3동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","613","","","","",
"창신3동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","786","","","","",
"창신3동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","653","","","","",
